43	9	18	32	18	61	93	91	40	68
16	61	64	68	21	67	88	2	74	53
63	8	45	12	51	52	8	91	62	74
5	46	7	12	80	16	52	55	52	19
38	6	11	31	22	19	73	48	83	93
11	24	87	23	3	37	65	7	98	6
1	94	3	11	35	81	22	10	68	18
60	83	3	28	10	95	7	93	30	6
18	14	86	15	1	15	83	86	36	90
65	53	82	4	10	87	11	49	90	66
26	66	25	84	66	76	92	17	94	1
46	88	1	85	71	11	51	59	25	81
13	60	68	36	47	17	87	64	67	51
22	26	40	100	12	57	93	19	4	81
50	40	57	100	58	89	34	92	18	73
15	40	19	11	63	10	68	30	40	95
62	90	24	43	41	62	1	12	67	65
97	2	82	51	39	89	10	5	95	67
90	9	17	79	43	64	32	87	92	67
96	53	96	96	62	46	82	9	100	38
64	78	74	33	3	50	64	1	76	97
96	37	10	91	82	24	12	54	98	36
50	53	64	65	21	79	79	29	42	38
78	83	93	66	60	54	35	54	9	43
43	86	94	32	95	5	30	94	72	52
5	80	51	61	60	61	52	79	78	28
48	25	85	54	90	56	29	80	86	31
85	16	7	54	51	80	98	17	46	37
96	52	1	50	49	95	5	63	42	73
8	33	81	58	6	1	47	27	24	11
53	93	61	52	92	88	9	50	88	79
19	100	23	44	57	64	72	61	37	57
23	84	52	97	92	97	11	67	77	98
41	19	56	40	99	78	37	30	96	41
22	100	40	31	10	52	79	45	85	25
32	32	58	8	80	15	13	6	16	89
49	15	41	53	65	9	36	43	86	83
18	73	100	54	55	31	70	4	99	16
60	17	1	15	40	7	97	97	34	48
50	13	31	45	15	27	82	90	30	73
7	41	30	12	33	18	74	63	27	2
46	65	98	84	64	35	37	68	35	73
38	95	99	66	37	61	32	25	35	35
11	49	39	6	83	82	2	35	33	60
5	91	45	84	49	95	45	76	13	63
23	14	30	55	5	54	90	40	50	94
84	2	44	39	72	39	6	83	8	99
51	61	13	32	54	50	59	58	58	92
31	91	23	79	12	37	68	76	90	34
36	13	80	6	13	69	37	60	6	14
22	53	54	97	78	1	97	64	3	32
18	100	46	43	35	39	67	8	48	87
94	29	43	64	43	45	66	86	23	50
3	10	47	53	70	12	4	51	99	77
4	18	60	79	15	23	35	34	92	59
34	61	100	81	28	75	8	88	96	29
59	31	25	56	35	98	24	20	85	74
21	39	38	12	67	40	8	99	21	63
35	59	1	15	99	34	72	14	8	99
85	55	85	81	86	65	41	68	81	42
14	50	89	54	86	68	3	86	45	41
78	48	83	97	52	41	17	97	16	19
30	50	43	27	44	55	21	84	20	12
30	22	19	49	41	61	17	48	53	15
83	62	41	83	68	55	75	78	95	19
80	84	58	35	94	21	32	2	44	63
31	7	76	1	23	31	63	25	57	93
93	24	49	12	48	3	68	14	87	75
95	83	36	60	88	68	24	52	36	19
95	45	89	79	42	52	86	67	28	90
69	9	52	83	13	54	69	87	49	76
35	42	19	53	26	58	8	52	96	22
78	75	89	39	61	31	48	20	1	25
43	68	30	10	68	45	47	63	42	32
50	27	12	46	11	19	90	60	55	24
40	35	100	58	82	49	22	38	62	5
35	28	12	59	7	52	77	14	75	28
68	99	25	49	37	10	97	53	60	24
5	6	82	12	77	57	43	27	96	88
8	57	74	75	50	43	95	89	36	91
49	12	38	36	31	49	2	16	88	55
44	10	41	70	30	90	55	76	81	52
93	11	68	8	51	50	31	29	71	86
57	45	80	99	87	93	74	8	14	56
81	43	10	12	91	2	45	44	54	15
39	75	98	7	51	96	32	58	7	47
11	88	97	57	15	35	51	28	50	20
14	63	96	40	29	48	45	1	15	15
86	13	72	17	93	64	60	26	85	59
49	82	96	8	68	48	88	91	15	99
54	49	21	79	75	39	12	14	2	37
93	73	69	72	34	45	57	64	88	59
5	38	92	49	47	89	57	27	68	55
87	79	79	43	21	89	85	35	78	59
57	33	32	91	1	63	76	98	72	87
51	48	92	46	77	10	10	36	78	40
97	7	87	13	73	69	10	80	85	49
85	73	10	87	59	65	28	65	88	26
40	23	95	53	3	81	27	81	76	41
40	55	29	44	19	27	65	91	37	32
74
